 IDnum	freq	P(case)	P(+incident)
286	1	0.101075	0
287	1	0.111228	0
288	1	0.0300151	1
289	1	0.113377	1
290	1	0.111228	0
291	1	0.0444775	1
292	1	0.0444775	1
293	1	0.0300151	1
294	1	0.101075	0
295	1	0.113377	1
296	1	0.110914	1
297	1	0.110914	1
298	1	0.113377	1
299	1	0.101075	0
300	1	0.0444775	1
301	1	0.1049	0
302	1	0.113377	1
303	1	0.133493	1
304	1	0.133493	1
305	1	0.1049	0
306	1	0.133493	1
307	1	0.1049	0
308	1	0.133493	1
309	1	0.0444775	1
310	1	0.133493	1
311	1	0.0167767	1
312	1	0.111228	0
313	1	0.110914	1
314	1	0.133493	1
315	1	0.113377	1
316	1	0.111228	0
317	1	0.111228	0
318	1	0.133493	1
319	1	0.113377	1
320	1	0.133493	1
321	1	0.111228	0
322	1	0.113377	1
323	1	0.111228	0
324	1	0.0444775	1
325	1	0.107614	0
326	1	0.133493	1
327	1	0.120852	0
328	1	0.120852	0
329	1	0.111228	0
330	1	0.101075	0
331	1	0.111228	0
332	1	0.110914	1
333	1	0.113377	1
334	1	0.120852	0
335	1	0.101075	0
336	1	0.107614	0
337	1	0.133493	1
338	1	0.0444775	1
339	1	0.133493	1
340	1	0.1049	0
341	1	0.1049	0
342	1	0.113377	1
343	1	0.120852	0
344	1	0.110914	1
345	1	0.110914	1
346	1	0.110914	1
347	1	0.1049	0
348	1	0.101075	0
349	1	0.120852	0
350	1	0.1049	0
351	1	0.133493	1
352	1	0.120852	0
353	1	0.0444775	1
354	1	0.133493	1
355	1	0.133493	1
356	1	0.113377	1
357	1	0.107614	0
358	1	0.0444775	1
359	1	0.107614	0
360	1	0.111228	0
361	1	0.107614	0
362	1	0.0300151	1
363	1	0.133493	1
364	1	0.0444775	1
365	1	0.120852	0
366	1	0.101075	0
367	1	0.110914	1
368	1	0.101075	0
369	1	0.133493	1
370	1	0.1049	0
371	1	0.0167767	1
372	1	0.107614	0
373	1	0.0444775	1
374	1	0.113377	1
375	1	0.120852	0
376	1	0.107614	0
377	1	0.110914	1
378	1	0.113377	1
379	1	0.113377	1
380	1	0.111228	0
381	1	0.107614	0
382	1	0.133493	1
383	1	0.113377	1
384	1	0.1049	0
385	1	0.113377	1
386	1	0.0444775	1
387	1	0.120852	0
388	1	0.120852	0
389	1	0.111228	0
390	1	0.110914	1
391	1	0.120852	0
392	1	0.113377	1
393	1	0.1049	0
394	1	0.111228	0
395	1	0.1049	0
396	1	0.107614	0
397	1	0.111228	0
398	1	0.101075	0
399	1	0.107614	0
400	1	0.120852	0
401	1	0.107614	0
402	1	0.110914	1
403	1	0.120852	0
404	1	0.133493	1
405	1	0.113377	1
406	1	0.1049	0
407	1	0.120852	0
408	1	0.111228	0
409	1	0.107614	0
410	1	0.133493	1
411	1	0.133493	1
412	1	0.101075	0
413	1	0.113377	1
414	1	0.113377	1
415	1	0.110914	1
416	1	0.133493	1
417	1	0.0167767	1
418	1	0.1049	0
419	1	0.133493	1
420	1	0.133493	1
421	1	0.113377	1
422	1	0.107614	0
423	1	0.110914	1
424	1	0.101075	0
425	1	0.1049	0
426	1	0.110914	1
427	1	0.110914	1
428	1	0.120852	0
429	1	0.1049	0
430	1	0.120852	0
431	1	0.101075	0
432	1	0.107614	0
433	1	0.113377	1
434	1	0.113377	1
435	1	0.1049	0
436	1	0.113377	1
437	1	0.101075	0
438	1	0.113377	1
439	1	0.113377	1
440	1	0.120852	0
441	1	0.1049	0
442	1	0.1049	0
443	1	0.120852	0
444	1	0.0300151	1
445	1	0.133493	1
446	1	0.120852	0
447	1	0.133493	1
448	1	0.111228	0
449	1	0.111228	0
450	1	0.0444775	1
451	1	0.111228	0
452	1	0.133493	1
453	1	0.111228	0
454	1	0.120852	0
455	1	0.133493	1
456	1	0.0444775	1
457	1	0.107614	0
458	1	0.1049	0
459	1	0.101075	0
460	1	0.0300151	1
461	1	0.101075	0
462	1	0.0444775	1
463	1	0.101075	0
464	1	0.133493	1
465	1	0.111228	0
466	1	0.110914	1
467	1	0.111228	0
468	1	0.133493	1
469	1	0.101075	0
470	1	0.120852	0
471	1	0.101075	0
472	1	0.111228	0
473	1	0.120852	0
474	1	0.107614	0
475	1	0.133493	1
476	1	0.101075	0
477	1	0.107614	0
478	1	0.1049	0
479	1	0.101075	0
480	1	0.0444775	1
481	1	0.111228	0
482	1	0.133493	1
483	1	0.133493	1
484	1	0.110914	1
485	1	0.107614	0
486	1	0.133493	1
487	1	0.120852	0
488	1	0.1049	0
489	1	0.110914	1
490	1	0.107614	0
491	1	0.1049	0
492	1	0.111228	0
493	1	0.133493	1
494	1	0.113377	1
495	1	0.101075	0
496	1	0.1049	0
497	1	0.1049	0
498	1	0.1049	0
499	1	0.107614	0
500	1	0.1049	0
501	1	0.0300151	1
502	1	0.1049	0
503	1	0.107614	0
504	1	0.101075	0
505	1	0.1049	0
506	1	0.0167767	1
507	1	0.110914	1
508	1	0.101075	0
509	1	0.133493	1
510	1	0.113377	1
511	1	0.133493	1
512	1	0.101075	0
513	1	0.110914	1
514	1	0.107614	0
515	1	0.1049	0
516	1	0.1049	0
517	1	0.113377	1
518	1	0.110914	1
519	1	0.101075	0
520	1	0.113377	1
521	1	0.113377	1
522	1	0.133493	1
523	1	0.133493	1
524	1	0.120852	0
525	1	0.120852	0
526	1	0.111228	0
527	1	0.120852	0
528	1	0.120852	0
529	1	0.107614	0
530	1	0.1049	0
531	1	0.113377	1
532	1	0.133493	1
533	1	0.111228	0
534	1	0.133493	1
535	1	0.133493	1
536	1	0.111228	0
537	1	0.107614	0
538	1	0.120852	0
539	1	0.113377	1
540	1	0.0444775	1
541	1	0.120852	0
542	1	0.111228	0
543	1	0.1049	0
544	1	0.133493	1
545	1	0.107614	0
546	1	0.113377	1
547	1	0.110914	1
548	1	0.107614	0
549	1	0.113377	1
550	1	0.1049	0
551	1	0.101075	0
552	1	0.111228	0
553	1	0.120852	0
554	1	0.113377	1
555	1	0.0444775	1
556	1	0.113377	1
557	1	0.113377	1
558	1	0.110914	1
559	1	0.133493	1
560	1	0.101075	0
561	1	0.110914	1
562	1	0.107614	0
563	1	0.120852	0
564	1	0.1049	0
565	1	0.120852	0
566	1	0.110914	1
567	1	0.133493	1
568	1	0.133493	1
569	1	0.133493	1
570	1	0.133493	1
571	1	0.110914	1
572	1	0.113377	1
573	1	0.107614	0
574	1	0.0300151	1
575	1	0.133493	1
576	1	0.1049	0
577	1	0.107614	0
578	1	0.111228	0
579	1	0.0167767	1
580	1	0.1049	0
581	1	0.133493	1
582	1	0.0300151	1
583	1	0.133493	1
584	1	0.0167767	1
585	1	0.113377	1
586	1	0.111228	0
587	1	0.1049	0
588	1	0.101075	0
589	1	0.1049	0
590	1	0.110914	1
591	1	0.0444775	1
592	1	0.110914	1
593	1	0.120852	0
594	1	0.101075	0
595	1	0.0300151	1
596	1	0.0167767	1
597	1	0.0300151	1
598	1	0.113377	1
599	1	0.1049	0
600	1	0.0444775	1
601	1	0.110914	1
602	1	0.0300151	1
603	1	0.133493	1
604	1	0.101075	0
605	1	0.1049	0
606	1	0.0444775	1
607	1	0.120852	0
608	1	0.0167767	1
609	1	0.110914	1
610	1	0.0300151	1
611	1	0.1049	0
612	1	0.133493	1
613	1	0.133493	1
614	1	0.110914	1
615	1	0.0300151	1
616	1	0.110914	1
617	1	0.110914	1
618	1	0.1049	0
619	1	0.110914	1
620	1	0.1049	0
621	1	0.133493	1
622	1	0.133493	1
623	1	0.113377	1
624	1	0.101075	0
625	1	0.133493	1
626	1	0.113377	1
627	1	0.111228	0
628	1	0.113377	1
629	1	0.120852	0
630	1	0.0300151	1
631	1	0.113377	1
632	1	0.110914	1
633	1	0.107614	0
634	1	0.113377	1
635	1	0.113377	1
636	1	0.110914	1
637	1	0.133493	1
638	1	0.0444775	1
639	1	0.113377	1
640	1	0.0167767	1
641	1	0.120852	0
642	1	0.107614	0
643	1	0.111228	0
644	1	0.133493	1
645	1	0.113377	1
646	1	0.107614	0
647	1	0.133493	1
648	1	0.133493	1
649	1	0.110914	1
650	1	0.101075	0
651	1	0.113377	1
652	1	0.101075	0
653	1	0.120852	0
654	1	0.133493	1
655	1	0.1049	0
656	1	0.0300151	1
657	1	0.111228	0
658	1	0.0167767	1
659	1	0.113377	1
660	1	0.133493	1
661	1	0.110914	1
662	1	0.133493	1
663	1	0.133493	1
664	1	0.113377	1
665	1	0.110914	1
666	1	0.133493	1
667	1	0.111228	0
668	1	0.111228	0
669	1	0.0444775	1
670	1	0.107614	0
671	1	0.110914	1
672	1	0.101075	0
673	1	0.133493	1
674	1	0.107614	0
675	1	0.111228	0
676	1	0.101075	0
677	1	0.1049	0
678	1	0.107614	0
679	1	0.101075	0
680	1	0.120852	0
681	1	0.110914	1
682	1	0.111228	0
683	1	0.1049	0
684	1	0.120852	0
685	1	0.133493	1
686	1	0.120852	0
687	1	0.1049	0
688	1	0.111228	0
689	1	0.101075	0
690	1	0.101075	0
691	1	0.110914	1
692	1	0.101075	0
693	1	0.113377	1
694	1	0.120852	0
695	1	0.107614	0
696	1	0.107614	0
697	1	0.120852	0
698	1	0.107614	0
699	1	0.110914	1
700	1	0.0300151	1
701	1	0.133493	1
702	1	0.133493	1
703	1	0.107614	0
704	1	0.133493	1
705	1	0.111228	0
706	1	0.107614	0
707	1	0.110914	1
708	1	0.113377	1
709	1	0.120852	0
710	1	0.1049	0
711	1	0.113377	1
712	1	0.120852	0
713	1	0.101075	0
714	1	0.111228	0
715	1	0.133493	1
716	1	0.133493	1
717	1	0.113377	1
718	1	0.111228	0
719	1	0.113377	1
720	1	0.113377	1
